X: 696, Y: 247
X: 272, Y: 236
X: 386, Y: 184
X: 176, Y: 204
X: 561, Y: 380
X: 575, Y: 187
X: 769, Y: 140
X: 254, Y: 272
X: 44, Y: 27
X: 44, Y: 27
X: 45, Y: 32
X: 267, Y: 79
X: 45, Y: 26
X: 44, Y: 28
X: 713, Y: 499
X: 491, Y: 261
X: 576, Y: 414
X: 222, Y: 145
X: 584, Y: 211
X: 593, Y: 476
X: 44, Y: 28
X: 40, Y: 27
X: 332, Y: 318
X: 308, Y: 339
X: 212, Y: 152
X: 741, Y: 429
X: 217, Y: 117
X: 604, Y: 326
X: 641, Y: 101
X: 259, Y: 83
X: 112, Y: 146
X: 358, Y: 211
X: 470, Y: 109
X: 126, Y: 121
X: 416, Y: 243
X: 46, Y: 25
X: 347, Y: 339
X: 44, Y: 26
X: 763, Y: 173
X: 125, Y: 58
X: 750, Y: 467
X: 760, Y: 467
X: 750, Y: 481
X: 760, Y: 481
X: 401, Y: 312
X: 312, Y: 261
X: 193, Y: 178
X: 97, Y: 85
X: 50, Y: 42
X: 31, Y: 25
X: 22, Y: 17
X: 21, Y: 13
X: 19, Y: 13
X: 16, Y: 12
X: 21, Y: 13
X: 19, Y: 13
X: 19, Y: 12
X: 116, Y: 83
X: 206, Y: 110
X: 309, Y: 157
X: 20, Y: 13
X: 17, Y: 10
X: 17, Y: 9
X: 555, Y: 396
X: 783, Y: 556
X: 785, Y: 560
X: 797, Y: 556
X: 795, Y: 549
X: 793, Y: 524
X: 793, Y: 514
X: 795, Y: 486
X: 792, Y: 444
X: 160, Y: 385
X: 138, Y: 142
X: 5, Y: 3
X: 5, Y: 2
X: 4, Y: 1
X: 1, Y: 3
X: 2, Y: 5
X: 2, Y: 0
X: 2, Y: 1
X: 2, Y: 3
X: 2, Y: 3
X: 3, Y: 3
X: 3, Y: 3
X: 7, Y: 6
X: 101, Y: 28
X: 190, Y: 88
X: 674, Y: 371
X: 796, Y: 563
X: 800, Y: 569
X: 797, Y: 567
X: 212, Y: 163
X: 145, Y: 58
X: 1, Y: 3
X: 1, Y: 2
X: 1, Y: 2
X: 1, Y: 1
X: 1, Y: 1
X: 1, Y: 0
X: 0, Y: 1
X: 2, Y: 1
X: 2, Y: 1
X: 2, Y: 1
X: 2, Y: 1
X: 10, Y: 2
X: 8, Y: 0
X: 7, Y: 2
X: 7, Y: 1
X: 7, Y: 1
X: 762, Y: 472
X: 749, Y: 467
X: 762, Y: 467
X: 749, Y: 481
X: 760, Y: 481
X: 330, Y: 209
X: 748, Y: 467
X: 759, Y: 467
X: 740, Y: 493
X: 760, Y: 497
X: 373, Y: 134
X: 528, Y: 317
X: 678, Y: 432
X: 532, Y: 415
X: 615, Y: 515
X: 587, Y: 427
X: 718, Y: 539
X: 596, Y: 431
X: 248, Y: 315
X: 637, Y: 355
X: 749, Y: 465
X: 764, Y: 465
X: 748, Y: 481
X: 761, Y: 482
X: 74, Y: 57
X: 320, Y: 205
X: 420, Y: 93
X: 393, Y: 322
X: 468, Y: 205
X: 518, Y: 359
X: 176, Y: 171
X: 269, Y: 225
X: 347, Y: 297
X: 761, Y: 513
X: 799, Y: 568
X: 761, Y: 537
X: 769, Y: 547
X: 771, Y: 555
X: 786, Y: 566
X: 786, Y: 566
X: 786, Y: 566
X: 786, Y: 559
X: 789, Y: 562
X: 796, Y: 555
X: 797, Y: 567
X: 797, Y: 567
X: 797, Y: 567
X: 797, Y: 567
X: 797, Y: 567
X: 797, Y: 567
X: 796, Y: 553
X: 162, Y: 284
X: 162, Y: 285
X: 215, Y: 234
X: 163, Y: 291
X: 165, Y: 287
X: 165, Y: 287
X: 162, Y: 285
X: 3083.0404217926184, Y: 1919.7065026362038
X: 3087.1511423550087, Y: 1923.817223198594
X: 3124.14762741652, Y: 1923.817223198594
X: 3087.1511423550087, Y: 1923.817223198594
X: 3083.0404217926184, Y: 1977.256590509666
X: 3124.14762741652, Y: 1981.3673110720563
X: 3124.14762741652, Y: 1923.817223198594
X: 3083.0404217926184, Y: 1738.834797891037
X: 3083.0404217926184, Y: 1919.7065026362038
X: 3124.14762741652, Y: 1919.7065026362038
X: 3087.1511423550087, Y: 1981.3673110720563
X: 3083.0404217926184, Y: 1919.7065026362038
X: 3124.14762741652, Y: 1919.7065026362038
X: 3083.0404217926184, Y: 1973.145869947276
X: 3124.14762741652, Y: 1981.3673110720563
X: 3082, Y: 1917
X: 3082, Y: 1921
X: 3085, Y: 1920
X: 2076, Y: 1776
X: 906, Y: 1171
X: 2068, Y: 1863
X: 2338, Y: 694
X: 651, Y: 1171
X: 664, Y: 1164
X: 1281, Y: 1429
X: 2415, Y: 1836
X: 3012, Y: 2199
X: 2768, Y: 1951
X: 2608, Y: 2062
X: 2542, Y: 2149
X: 2081, Y: 1233
X: 2760, Y: 1839
X: 3076, Y: 1920
X: 3133, Y: 1903
X: 3087, Y: 1988
X: 3167, Y: 1982
X: 2075, Y: 1179
X: 2685, Y: 1906
X: 3050, Y: 2156
X: 3116, Y: 2205
X: 1259, Y: 1868
X: 1547, Y: 1571
X: 1715, Y: 1055
X: 1257, Y: 1788
X: 2408, Y: 1755
