X: 646, Y: 87
X: 3, Y: 542
X: 28, Y: 203
X: 435, Y: 352
X: 649, Y: 387
X: 490, Y: 530
X: 775, Y: 547
X: 765, Y: 136
X: 50, Y: 29
X: 543, Y: 273
X: 49, Y: 29
X: 48, Y: 56
X: 121, Y: 136
X: 50, Y: 27
X: 161, Y: 161
X: 807, Y: 288
X: 54, Y: 43
X: 204, Y: 466
X: 593, Y: 221
X: 557, Y: 405
X: 218, Y: 119
X: 634, Y: 355
X: 663, Y: 52
X: 25, Y: 180
X: 671, Y: 573
X: 807, Y: 116
X: 657, Y: 384
X: 194, Y: 98
X: 71, Y: 54
X: 43, Y: 26
X: 313, Y: 126
X: 491, Y: 189
X: 630, Y: 400
X: 396, Y: 235
X: 75, Y: 76
X: 211, Y: 100
X: 233, Y: 147
X: 138, Y: 62
X: 23, Y: 14
X: 22, Y: 13
X: 82, Y: 156
X: 272, Y: 154
X: 453, Y: 221
X: 358, Y: 203
X: 296, Y: 529
X: 99, Y: 121
X: 299, Y: 127
X: 462, Y: 149
X: 748, Y: 119
X: 700, Y: 98
X: 435, Y: 224
X: 74, Y: 93
X: 98, Y: 97
X: 22, Y: 13
X: 23, Y: 13
X: 304, Y: 151
X: 223, Y: 89
X: 40, Y: 22
X: 103, Y: 180
X: 426, Y: 130
X: 499, Y: 539
X: 171, Y: 171
X: 226, Y: 191
X: 23, Y: 15
X: 22, Y: 16
X: 168, Y: 119
X: 195, Y: 136
